title,price,bedrooms,has_maid_room,bathrooms,area_sqm,property_type,available_from,location,amenities,region,sub_area,furnishing_status,amenities_no_furnishing,amenities_clean_list,amenity_balcony,amenity_built_in_wardrobes,amenity_central_a_c,amenity_children's_pool,amenity_covered_parking,amenity_kitchen_appliances,amenity_lobby_in_building,amenity_maids_room,amenity_private_garden,amenity_private_pool,amenity_security,amenity_shared_gym,amenity_shared_pool,amenity_shared_spa,amenity_study,amenity_view_of_landmark,amenity_view_of_water,amenity_walk-in_closet
Ready to move For sale Apartment With Garden,7900000,2,False,2,1211302,Apartment,2026-06-21,"The Address East, 90 Street, The 5th Settlement, New Cairo City, Cairo","Unfurnished, Covered Parking, Balcony, Built in Wardrobes",Cairo,The Address East,Unfurnished,"Covered Parking, Balcony, Built in Wardrobes","['Covered Parking', 'Balcony', 'Built In Wardrobes']",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Best Location Chalet Seashore with installments,14000000,3,True,3,1301399,Chalet,2026-06-21,"Seashore, Ras Al Hekma, North Coast","Partly furnished, Balcony, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool, Study",North Coast,Seashore,Partly furnished,"Balcony, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool, Study","['Balcony', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool', 'Study']",1,0,1,0,1,1,0,1,1,1,0,0,1,0,1,0,0,0
NEAR BEACH CHALET WITH INSTALLMENTS SEASHORE,11300000,2,True,2,1001076,Chalet,2026-06-21,"Seashore, Ras Al Hekma, North Coast","Partly furnished, Covered Parking, Kitchen Appliances, Maids Room, Shared Pool, Study, View of Water, Security, Shared Spa, Walk-in Closet",North Coast,Seashore,Partly furnished,"Covered Parking, Kitchen Appliances, Maids Room, Shared Pool, Study, View of Water, Security, Shared Spa, Walk-in Closet","['Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Shared Pool', 'Study', 'View Of Water', 'Security', 'Shared Spa', 'Walk-In Closet']",0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,0,1,1
Resale chalet at the lowest price for sale in Soma,11730000,2,False,2,1051130,Chalet,2026-06-21,"Bay West, Soma Bay, Safaga, Hurghada, Red Sea","Partly furnished, Private Garden, Private Pool, Shared Pool, View of Water, Security, Shared Gym, Walk-in Closet, View of Landmark, Lobby in Building",Red Sea,Bay West,Partly furnished,"Private Garden, Private Pool, Shared Pool, View of Water, Security, Shared Gym, Walk-in Closet, View of Landmark, Lobby in Building","['Private Garden', 'Private Pool', 'Shared Pool', 'View Of Water', 'Security', 'Shared Gym', 'Walk-In Closet', 'View Of Landmark', 'Lobby In Building']",0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,1,1
Own Chalet 2 Bed Lagoon View 8 Year Installment,18760000,2,False,2,1301399,Chalet,2026-06-18,"Almaza Bay, Qesm Marsa Matrouh, North Coast","Unfurnished, Balcony, Central A/C, Covered Parking, Shared Pool, Study, View of Water, Security, Shared Spa, Shared Gym",North Coast,Almaza Bay,Unfurnished,"Balcony, Central A/C, Covered Parking, Shared Pool, Study, View of Water, Security, Shared Spa, Shared Gym","['Balcony', 'Central A/C', 'Covered Parking', 'Shared Pool', 'Study', 'View Of Water', 'Security', 'Shared Spa', 'Shared Gym']",1,0,1,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0
Ready To Move Apartment Lowest Price In The Market,6180290,1,False,1,85915,Apartment,2026-06-18,"Zed East, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","Unfurnished, Balcony, Central A/C, Covered Parking, Security, Shared Spa, Shared Gym",Cairo,Zed East,Unfurnished,"Balcony, Central A/C, Covered Parking, Security, Shared Spa, Shared Gym","['Balcony', 'Central A/C', 'Covered Parking', 'Security', 'Shared Spa', 'Shared Gym']",1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0
Chalet With Garden In Playa Fully Finished,8600000,3,False,3,1761894,Chalet,2026-06-17,"Playa Resort, Sidi Abdel Rahman, North Coast","Unfurnished, Balcony, Central A/C, Covered Parking, Private Garden, Shared Pool, Study, View of Water, Security, Shared Gym",North Coast,Playa Resort,Unfurnished,"Balcony, Central A/C, Covered Parking, Private Garden, Shared Pool, Study, View of Water, Security, Shared Gym","['Balcony', 'Central A/C', 'Covered Parking', 'Private Garden', 'Shared Pool', 'Study', 'View Of Water', 'Security', 'Shared Gym']",1,0,1,0,1,0,0,0,1,0,1,1,1,0,1,0,1,0
3 bedrooms loft for sale in june ready to move |10,20200000,3,True,3,1501615,Chalet,2026-06-18,"June, Ras Al Hekma, North Coast","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Private Garden, Maids Room, Private Pool, Shared Pool",North Coast,June,Unfurnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Private Garden, Maids Room, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Private Garden', 'Maids Room', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0
1ST ROW VILLA 0% DOWN PAYMENT LOWEST PRICE LIMITED,105000000,6,True,7,5005382,Villa,2026-06-18,"Almaza Bay, Qesm Marsa Matrouh, North Coast","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",North Coast,Almaza Bay,Partly furnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0
Lowest Price 3 bed In Silver Sands Delivery 2026,9600000,3,True,3,2702906,Chalet,2026-06-18,"Silver Sands, Qesm Marsa Matrouh, North Coast","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",North Coast,Silver Sands,Unfurnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0
Fully Finished Ready to move Direct on Landscape,13000000,3,True,3,1851991,Apartment,2026-06-18,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",Cairo,Villette,Unfurnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0
Chalet For Sale In Silver Sands Prime Location .,9000000,2,True,2,1201292,Chalet,2026-06-18,"Silver Sands, Qesm Marsa Matrouh, North Coast","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Private Pool, Shared Pool, Study, View of Water, Security",North Coast,Silver Sands,Unfurnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Private Pool, Shared Pool, Study, View of Water, Security","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Private Pool', 'Shared Pool', 'Study', 'View Of Water', 'Security']",1,1,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0
OWN VILLA FIRST ROW WITH 5% DP FINISHED IN SOMABAY,24000000,4,False,4,2402583,Villa,2026-06-18,"Mesca, Soma Bay, Safaga, Hurghada, Red Sea","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Private Garden, Private Pool, Shared Pool, Study",Red Sea,Mesca,Unfurnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Private Garden, Private Pool, Shared Pool, Study","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Private Garden', 'Private Pool', 'Shared Pool', 'Study']",1,1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0
villa at hacienda bay under market furnished ????,21000000,6,True,6,3804090,Townhouse,2026-06-18,"Hacienda West, Ras Al Hekma, North Coast","Furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",North Coast,Hacienda West,Furnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0
Resale Under Market price Chalet Garden in Blanca,18870000,2,True,2,1361464,Chalet,2026-06-21,"Blanca Gardens, Soma Bay, Safaga, Hurghada, Red Sea","Partly furnished, Balcony, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool, View of Water, Security",Red Sea,Blanca Gardens,Partly furnished,"Balcony, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool, View of Water, Security","['Balcony', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool', 'View Of Water', 'Security']",1,0,0,0,1,1,0,1,1,1,1,0,1,0,0,0,1,0
SEA VIEW 3BR Chalet with only 5% Down payment !!,18500000,3,True,4,1451561,Chalet,2026-06-21,"Ras Soma, Safaga, Hurghada, Red Sea","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",Red Sea,Ras Soma,Partly furnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0
SEA VIEW 3BR Chalet with only 5% Down payment !!,15700000,3,True,4,1451561,Chalet,2026-06-21,"Blanca Gardens, Soma Bay, Safaga, Hurghada, Red Sea","Partly furnished, Built in Wardrobes, Balcony, Central A/C, Covered Parking, Kitchen Appliances, Private Pool, View of Water, Private Garden, Maids Room",Red Sea,Blanca Gardens,Partly furnished,"Built in Wardrobes, Balcony, Central A/C, Covered Parking, Kitchen Appliances, Private Pool, View of Water, Private Garden, Maids Room","['Built In Wardrobes', 'Balcony', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Private Pool', 'View Of Water', 'Private Garden', 'Maids Room']",1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0
SEA VIEW 2BR Chalet early deliver over 8 years !!,13000000,2,True,3,1151238,Chalet,2026-06-20,"Ramla, Ras Al Hekma, North Coast","Partly furnished, Built in Wardrobes, Central A/C, Private Garden, Private Pool, Shared Pool, Balcony, Covered Parking, Kitchen Appliances, Maids Room",North Coast,Ramla,Partly furnished,"Built in Wardrobes, Central A/C, Private Garden, Private Pool, Shared Pool, Balcony, Covered Parking, Kitchen Appliances, Maids Room","['Built In Wardrobes', 'Central A/C', 'Private Garden', 'Private Pool', 'Shared Pool', 'Balcony', 'Covered Parking', 'Kitchen Appliances', 'Maids Room']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0
SEA VIEW Chalet with ZERO% Down Payment Over 8 yrs,16000000,3,True,4,1451561,Apartment,2026-06-18,"Ancient Sands Resort, El Gouna, Hurghada, Red Sea","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Maids Room, Shared Pool, Private Pool, Private Garden, Kitchen Appliances",Red Sea,Ancient Sands Resort,Partly furnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Maids Room, Shared Pool, Private Pool, Private Garden, Kitchen Appliances","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Maids Room', 'Shared Pool', 'Private Pool', 'Private Garden', 'Kitchen Appliances']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0
Early deliver Sea view 3BR Villa with 5% DP only !,35000000,3,True,4,2252422,Villa,2026-06-21,"Ras Soma, Safaga, Hurghada, Red Sea","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Kitchen Appliances, Maids Room, Shared Pool, Study, Private Pool, Private Garden",Red Sea,Ras Soma,Partly furnished,"Balcony, Built in Wardrobes, Central A/C, Kitchen Appliances, Maids Room, Shared Pool, Study, Private Pool, Private Garden","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Kitchen Appliances', 'Maids Room', 'Shared Pool', 'Study', 'Private Pool', 'Private Garden']",1,1,1,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0
First Row Single-Floor Standalone Ready To Deliver,125000000,4,True,6,5085468,Villa,2026-06-21,"Marassi Red Sea, Soma Bay, Safaga, Hurghada, Red Sea","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",Red Sea,Marassi Red Sea,Partly furnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0
SEA VIEW 3BR Chalet with only 5% Down payment !!,20000000,3,True,4,1451561,Chalet,2026-06-21,"Marassi Red Sea, Soma Bay, Safaga, Hurghada, Red Sea","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",Red Sea,Marassi Red Sea,Partly furnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0
Last Building with Immediate Delivery OVER 10 YEAR,900000000,7,True,7,400043056,Whole Building,2026-06-21,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Private Garden, Private Pool, Study, Shared Pool",Cairo,Mivida,Partly furnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Private Garden, Private Pool, Study, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Private Garden', 'Private Pool', 'Study', 'Shared Pool']",1,1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0
Last Building with Immediate Delivery OVER 10 YEAR,900000000,7,True,7,400043056,Whole Building,2026-06-21,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool, Covered Parking",Cairo,Villette,Partly furnished,"Balcony, Built in Wardrobes, Central A/C, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool, Covered Parking","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool', 'Covered Parking']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0
Last Prime First Row Golf 5BR Standalone – Over 8Y,92000000,5,True,6,7167707,Villa,2026-06-21,"City Gate, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Shared Pool, Study, Private Pool",Cairo,City Gate,Unknown,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Shared Pool, Study, Private Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Shared Pool', 'Study', 'Private Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,1,0,0,0
SEA VIEW Chalet with ZERO% Down Payment Over 8 yrs,9000000,3,True,4,1451561,Apartment,2026-06-18,"Makadi Heights, Makadi Orascom Resort, Makadi, Hurghada, Red Sea","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Private Garden, Maids Room, Private Pool, Shared Pool",Red Sea,Makadi Heights,Partly furnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Private Garden, Maids Room, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Private Garden', 'Maids Room', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0
Early deliver Sea view 3BR Villa with 5% DP only !,20000000,3,True,4,2252422,Villa,2026-06-21,"Blanca Gardens, Soma Bay, Safaga, Hurghada, Red Sea","Partly furnished, Balcony, Covered Parking, Kitchen Appliances, Maids Room, Shared Pool, Central A/C, Built in Wardrobes, Private Garden, Private Pool",Red Sea,Blanca Gardens,Partly furnished,"Balcony, Covered Parking, Kitchen Appliances, Maids Room, Shared Pool, Central A/C, Built in Wardrobes, Private Garden, Private Pool","['Balcony', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Shared Pool', 'Central A/C', 'Built In Wardrobes', 'Private Garden', 'Private Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0
First Row Single-Floor Standalone Ready To Deliver,44000000,4,True,5,5085468,Villa,2026-06-21,"Ras Soma, Safaga, Hurghada, Red Sea","Partly furnished, Balcony, Maids Room, Kitchen Appliances, Covered Parking, Central A/C, Built in Wardrobes, Private Garden, Private Pool, Shared Pool",Red Sea,Ras Soma,Partly furnished,"Balcony, Maids Room, Kitchen Appliances, Covered Parking, Central A/C, Built in Wardrobes, Private Garden, Private Pool, Shared Pool","['Balcony', 'Maids Room', 'Kitchen Appliances', 'Covered Parking', 'Central A/C', 'Built In Wardrobes', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0
First Row Golf Villa 6BR Over 8 years installments,75000000,6,True,7,7167707,Villa,2026-06-21,"City Gate, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",Cairo,City Gate,Partly furnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0
Early deliver Sea view 3BR Villa with 5% DP only !,28000000,3,True,4,2252422,Villa,2026-06-21,"Marassi Red Sea, Soma Bay, Safaga, Hurghada, Red Sea","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",Red Sea,Marassi Red Sea,Partly furnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0
First Row Townhouse Early Deliver 3BR over 8 years,22000000,3,True,4,1501615,Twin House,2026-06-21,"Marassi Red Sea, Soma Bay, Safaga, Hurghada, Red Sea","Partly furnished, Balcony, Covered Parking, Maids Room, Private Garden, Private Pool, Shared Pool, Study, View of Water, Security",Red Sea,Marassi Red Sea,Partly furnished,"Balcony, Covered Parking, Maids Room, Private Garden, Private Pool, Shared Pool, Study, View of Water, Security","['Balcony', 'Covered Parking', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool', 'Study', 'View Of Water', 'Security']",1,0,0,0,1,0,0,1,1,1,1,0,1,0,1,0,1,0
First Row Large Villa Early Deliver 3BR over 8 yrs,28200000,3,True,4,2202368,Villa,2026-06-21,"Makadi Heights, Makadi Orascom Resort, Makadi, Hurghada, Red Sea","Partly furnished, Balcony, Covered Parking, Maids Room, Private Garden, Private Pool, Shared Pool, Study, View of Water, Security",Red Sea,Makadi Heights,Partly furnished,"Balcony, Covered Parking, Maids Room, Private Garden, Private Pool, Shared Pool, Study, View of Water, Security","['Balcony', 'Covered Parking', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool', 'Study', 'View Of Water', 'Security']",1,0,0,0,1,0,0,1,1,1,1,0,1,0,1,0,1,0
First Row Townhouse Early Deliver 3BR over 8 years,22000000,3,True,4,1501615,Twin House,2026-06-21,"Mesca, Soma Bay, Safaga, Hurghada, Red Sea","Partly furnished, Balcony, Covered Parking, Maids Room, Private Garden, Private Pool, Study, Shared Pool, View of Water, Security",Red Sea,Mesca,Partly furnished,"Balcony, Covered Parking, Maids Room, Private Garden, Private Pool, Study, Shared Pool, View of Water, Security","['Balcony', 'Covered Parking', 'Maids Room', 'Private Garden', 'Private Pool', 'Study', 'Shared Pool', 'View Of Water', 'Security']",1,0,0,0,1,0,0,1,1,1,1,0,1,0,1,0,1,0
First Row Large Villa Early Deliver 3BR over 8 yrs,28200000,3,True,4,2202368,Villa,2026-06-21,"Marassi Red Sea, Soma Bay, Safaga, Hurghada, Red Sea","Partly furnished, Balcony, Covered Parking, Maids Room, Private Garden, Private Pool, Shared Pool, Study, View of Water, Security",Red Sea,Marassi Red Sea,Partly furnished,"Balcony, Covered Parking, Maids Room, Private Garden, Private Pool, Shared Pool, Study, View of Water, Security","['Balcony', 'Covered Parking', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool', 'Study', 'View Of Water', 'Security']",1,0,0,0,1,0,0,1,1,1,1,0,1,0,1,0,1,0
First Row Large Villa Early Deliver 3BR over 8 yrs,28200000,3,True,4,2202368,Villa,2026-06-21,"Ras Soma, Safaga, Hurghada, Red Sea","Partly furnished, Balcony, Covered Parking, Maids Room, Private Garden, Private Pool, Shared Pool, Study, View of Water, Security",Red Sea,Ras Soma,Partly furnished,"Balcony, Covered Parking, Maids Room, Private Garden, Private Pool, Shared Pool, Study, View of Water, Security","['Balcony', 'Covered Parking', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool', 'Study', 'View Of Water', 'Security']",1,0,0,0,1,0,0,1,1,1,1,0,1,0,1,0,1,0
First Row Large Villa Early Deliver 3BR over 8 yrs,28200000,3,True,4,2202368,Villa,2026-06-21,"Swan Lake Gouna, El Gouna, Hurghada, Red Sea","Partly furnished, Balcony, Covered Parking, Maids Room, Private Garden, Private Pool, Shared Pool, Study, View of Water, Security",Red Sea,Swan Lake Gouna,Partly furnished,"Balcony, Covered Parking, Maids Room, Private Garden, Private Pool, Shared Pool, Study, View of Water, Security","['Balcony', 'Covered Parking', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool', 'Study', 'View Of Water', 'Security']",1,0,0,0,1,0,0,1,1,1,1,0,1,0,1,0,1,0
First Row Townhouse Early Deliver 3BR over 8 years,21900000,3,True,4,1501615,Townhouse,2026-06-21,"Mesca, Soma Bay, Safaga, Hurghada, Red Sea","Partly furnished, Balcony, Covered Parking, Maids Room, Private Garden, Private Pool, Shared Pool, Study, View of Water, Shared Spa",Red Sea,Mesca,Partly furnished,"Balcony, Covered Parking, Maids Room, Private Garden, Private Pool, Shared Pool, Study, View of Water, Shared Spa","['Balcony', 'Covered Parking', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool', 'Study', 'View Of Water', 'Shared Spa']",1,0,0,0,1,0,0,1,1,1,0,0,1,1,1,0,1,0
First Row Townhouse Early Deliver 3BR over 8 years,22000000,3,True,4,1501615,Twin House,2026-06-21,"Ras Soma, Safaga, Hurghada, Red Sea","Partly furnished, Balcony, Covered Parking, Maids Room, Private Garden, Private Pool, Shared Pool, Study, View of Water, Security",Red Sea,Ras Soma,Partly furnished,"Balcony, Covered Parking, Maids Room, Private Garden, Private Pool, Shared Pool, Study, View of Water, Security","['Balcony', 'Covered Parking', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool', 'Study', 'View Of Water', 'Security']",1,0,0,0,1,0,0,1,1,1,1,0,1,0,1,0,1,0
First Row Townhouse Early Deliver 3BR over 8 years,22000000,3,True,4,1501615,Twin House,2026-06-21,"Makadi Heights, Makadi Orascom Resort, Makadi, Hurghada, Red Sea","Partly furnished, Balcony, Covered Parking, Maids Room, Private Garden, Private Pool, Shared Pool, Study, Shared Spa, Shared Gym",Red Sea,Makadi Heights,Partly furnished,"Balcony, Covered Parking, Maids Room, Private Garden, Private Pool, Shared Pool, Study, Shared Spa, Shared Gym","['Balcony', 'Covered Parking', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool', 'Study', 'Shared Spa', 'Shared Gym']",1,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0
First Row Large Villa Early Deliver 3BR over 8 yrs,28200000,3,True,4,2202368,Villa,2026-06-21,"Mesca, Soma Bay, Safaga, Hurghada, Red Sea","Partly furnished, Balcony, Covered Parking, Maids Room, Private Garden, Private Pool, Shared Pool, Study, View of Water, Security",Red Sea,Mesca,Partly furnished,"Balcony, Covered Parking, Maids Room, Private Garden, Private Pool, Shared Pool, Study, View of Water, Security","['Balcony', 'Covered Parking', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool', 'Study', 'View Of Water', 'Security']",1,0,0,0,1,0,0,1,1,1,1,0,1,0,1,0,1,0
First Row Townhouse Early Deliver 3BR over 8 years,21900000,3,True,4,1501615,Townhouse,2026-06-21,"Ras Soma, Safaga, Hurghada, Red Sea","Partly furnished, Balcony, Covered Parking, Maids Room, Private Garden, Private Pool, Shared Pool, View of Water, Security, Shared Spa",Red Sea,Ras Soma,Partly furnished,"Balcony, Covered Parking, Maids Room, Private Garden, Private Pool, Shared Pool, View of Water, Security, Shared Spa","['Balcony', 'Covered Parking', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool', 'View Of Water', 'Security', 'Shared Spa']",1,0,0,0,1,0,0,1,1,1,1,0,1,1,0,0,1,0
